company_ticker,event_date
PWR,8/01/2014
PWR,11/06/2014
PWR,2/20/2015
PWR,5/01/2015
PWR,8/06/2015
PWR,11/06/2015
PWR,2/26/2016
PWR,5/06/2016
PWR,8/05/2016
PWR,11/04/2016
PWR,2/22/2017
PWR,5/05/2017
PWR,8/04/2017
PWR,11/03/2017
PWR,2/22/2019
PWR,5/03/2019
PWR,8/02/2019
PWR,11/01/2019
PWR,2/28/2020
PWR,5/08/2020
PWR,8/07/2020
PWR,10/30/2020
RCL,11/08/2017
RCL,1/31/2019
RCL,5/02/2019
RCL,7/26/2019
RCL,10/31/2019
RCL,8/11/2020
RCL,10/30/2020
RHI,1/29/2010
RHI,4/28/2010
RHI,7/22/2010
RHI,10/21/2010
RHI,1/27/2011
RHI,7/21/2011
RHI,10/26/2011
RHI,1/27/2012
RHI,4/25/2012
RHI,7/25/2012
RHI,10/19/2012
RHI,1/30/2013
RHI,4/24/2013
RHI,7/24/2013
RHI,10/23/2013
RHI,1/31/2014
RHI,4/24/2014
RHI,7/23/2014
RHI,10/22/2014
RHI,1/30/2015
RHI,4/24/2015
RHI,7/24/2015
RHI,10/22/2015
RHI,2/03/2016
RHI,4/27/2016
RHI,7/27/2016
RHI,10/27/2016
RHI,1/27/2017
RHI,4/21/2017
RHI,7/26/2017
RHI,10/25/2017
RHI,4/25/2018
RHI,1/30/2019
RHI,4/24/2019
RHI,7/24/2019
RHI,10/24/2019
RHI,1/31/2020
RHI,4/24/2020
RHI,7/24/2020
RHI,10/23/2020
RL,2/04/2010
RL,5/20/2010
RL,8/05/2010
RL,11/11/2010
RL,2/10/2011
RL,5/26/2011
RL,8/11/2011
RL,11/10/2011
RL,2/09/2012
RL,5/23/2012
RL,8/09/2012
RL,2/07/2013
RL,5/24/2013
RL,8/08/2013
RL,11/07/2013
RL,2/06/2014
RL,8/07/2014
RL,10/30/2014
RL,2/05/2015
RL,5/14/2015
RL,8/06/2015
RL,11/06/2015
RL,2/05/2016
RL,5/13/2016
RL,8/11/2016
RL,11/11/2016
RL,2/03/2017
RL,5/19/2017
RL,8/09/2017
RL,11/03/2017
RL,2/06/2019
RL,5/15/2019
RL,7/31/2019
RL,11/08/2019
RL,2/05/2020
RL,5/28/2020
RL,8/05/2020
RL,10/30/2020
RMD,2/05/2010
RMD,4/30/2010
RMD,8/06/2010
RMD,10/29/2010
RMD,1/28/2011
RMD,4/29/2011
RMD,8/05/2011
RMD,10/25/2011
RMD,1/27/2012
RMD,4/27/2012
RMD,8/03/2012
RMD,10/26/2012
RMD,1/25/2013
RMD,4/26/2013
RMD,8/02/2013
RMD,10/25/2013
RMD,1/24/2014
RMD,4/24/2014
RMD,8/01/2014
RMD,10/24/2014
RMD,1/23/2015
RMD,4/24/2015
RMD,7/31/2015
RMD,10/23/2015
RMD,1/22/2016
RMD,4/27/2016
RMD,7/29/2016
RMD,10/26/2016
RMD,1/24/2017
RMD,4/28/2017
RMD,8/02/2017
RMD,10/27/2017
RMD,1/25/2019
RMD,5/03/2019
RMD,7/26/2019
RMD,10/25/2019
RMD,1/31/2020
RMD,5/01/2020
RMD,8/06/2020
RMD,10/30/2020
ROL,1/28/2010
ROL,4/29/2010
ROL,7/29/2010
ROL,10/28/2010
ROL,1/27/2011
ROL,7/28/2011
ROL,10/27/2011
ROL,1/26/2012
ROL,4/26/2012
ROL,7/26/2012
ROL,10/25/2012
ROL,1/24/2013
ROL,4/25/2013
ROL,7/25/2013
ROL,10/24/2013
ROL,1/30/2014
ROL,4/24/2014
ROL,7/24/2014
ROL,10/30/2014
ROL,1/29/2015
ROL,4/30/2015
ROL,7/30/2015
ROL,10/29/2015
ROL,1/28/2016
ROL,4/28/2016
ROL,7/28/2016
ROL,10/27/2016
ROL,1/26/2017
ROL,4/27/2017
ROL,7/27/2017
ROL,10/26/2017
ROL,4/26/2018
ROL,1/24/2019
ROL,4/25/2019
ROL,7/25/2019
ROL,10/24/2019
ROL,1/30/2020
ROL,4/30/2020
ROL,7/30/2020
ROL,10/29/2020
ROP,2/04/2010
ROP,4/27/2010
ROP,7/27/2010
ROP,10/26/2010
ROP,2/01/2011
ROP,4/27/2011
ROP,7/26/2011
ROP,10/25/2011
ROP,2/03/2012
ROP,4/24/2012
ROP,7/31/2012
ROP,10/26/2012
ROP,1/29/2013
ROP,4/30/2013
ROP,7/30/2013
ROP,10/29/2013
ROP,1/28/2014
ROP,4/29/2014
ROP,7/29/2014
ROP,10/28/2014
ROP,1/27/2015
ROP,4/28/2015
ROP,7/28/2015
ROP,10/27/2015
ROP,2/02/2016
ROP,4/26/2016
ROP,7/26/2016
ROP,11/01/2016
ROP,2/10/2017
ROP,8/01/2017
ROP,10/31/2017
ROP,4/26/2019
ROP,7/26/2019
ROP,10/25/2019
ROP,1/31/2020
ROP,4/29/2020
ROP,7/29/2020
ROP,10/28/2020
RTI,2/05/2010
RTI,5/05/2010
RTI,8/04/2010
RTI,11/03/2010
RTI,2/02/2011
RTI,5/04/2011
RTI,8/03/2011
RTI,11/02/2011
RTI,2/08/2012
RTI,5/04/2012
RTI,8/02/2012
RTI,11/01/2012
RTI,2/07/2013
RTI,5/01/2013
RTI,7/31/2013
RTI,11/08/2013
RTI,2/28/2014
RTI,5/07/2014
RTI,8/06/2014
RTI,11/06/2014
RTN,1/29/2010
RTN,4/23/2010
RTN,7/30/2010
RTN,10/29/2010
RTN,1/28/2011
RTN,4/29/2011
RTN,7/29/2011
RTN,10/28/2011
RTN,1/27/2012
RTN,4/27/2012
RTN,7/27/2012
RTN,10/26/2012
RTN,1/25/2013
RTN,4/26/2013
RTN,7/26/2013
RTN,10/25/2013
RTN,1/31/2014
RTN,4/25/2014
RTN,7/25/2014
RTN,10/24/2014
RTN,1/30/2015
RTN,4/24/2015
RTN,7/24/2015
RTN,10/23/2015
RTN,1/29/2016
RTN,4/29/2016
RTN,7/29/2016
RTN,10/28/2016
RTN,1/27/2017
RTN,4/28/2017
RTN,7/28/2017
RTN,10/27/2017
RTN,2/01/2019
RTN,4/26/2019
RTN,7/26/2019
SEE,1/26/2010
SEE,4/29/2010
SEE,7/29/2010
SEE,10/28/2010
SEE,1/25/2011
SEE,4/28/2011
SEE,7/28/2011
SEE,10/27/2011
SEE,2/10/2012
SEE,5/04/2012
SEE,8/03/2012
SEE,2/20/2013
SEE,5/02/2013
SEE,10/31/2013
SEE,2/07/2014
SEE,5/01/2014
SEE,7/31/2014
SEE,10/30/2014
SEE,2/11/2015
SEE,5/01/2015
SEE,7/31/2015
SEE,10/28/2015
SEE,2/11/2016
SEE,4/29/2016
SEE,7/29/2016
SEE,10/28/2016
SEE,2/10/2017
SEE,5/10/2017
SEE,8/09/2017
SEE,11/09/2017
SEE,8/07/2020
SEE,10/29/2020
SGMO,5/11/2017
SHW,1/27/2010
SHW,4/23/2010
SHW,7/23/2010
SHW,10/27/2010
SHW,1/26/2011
SHW,7/22/2011
SHW,10/26/2011
SHW,1/27/2012
SHW,4/20/2012
SHW,7/20/2012
SHW,10/26/2012
SHW,2/01/2013
SHW,4/19/2013
SHW,7/19/2013
SHW,1/31/2014
SHW,7/18/2014
SHW,10/29/2014
SHW,1/30/2015
SHW,4/17/2015
SHW,7/17/2015
SHW,10/30/2015
SHW,1/29/2016
SHW,4/22/2016
SHW,7/22/2016
SHW,10/26/2016
SHW,1/27/2017
SHW,4/21/2017
SHW,7/21/2017
SHW,10/25/2017
SHW,4/25/2018
SHW,2/01/2019
SHW,4/24/2019
SHW,7/24/2019
SHW,10/23/2019
SHW,1/31/2020
SHW,4/30/2020
SHW,7/29/2020
SHW,10/28/2020
SJM,2/25/2010
SJM,6/18/2010
SJM,11/19/2010
SJM,2/18/2011
SJM,6/10/2011
SJM,8/19/2011
SJM,11/18/2011
SJM,2/17/2012
SJM,6/08/2012
SJM,6/07/2013
SJM,8/22/2013
SJM,11/21/2013
SJM,6/06/2014
SJM,8/21/2014
SJM,11/20/2014
SJM,6/05/2015
SJM,8/28/2015
SJM,11/20/2015
SJM,2/24/2016
SJM,6/10/2016
SJM,8/24/2016
SJM,11/18/2016
SJM,6/09/2017
SJM,8/25/2017
SJM,11/17/2017
SJM,2/27/2019
SJM,6/07/2019
SJM,8/28/2019
SJM,2/27/2020
SJM,6/05/2020
SJM,8/26/2020
SJM,11/25/2020
SNA,2/05/2010
SNA,4/21/2010
SNA,2/04/2011
SNA,7/22/2011
SNA,10/21/2011
SNA,2/03/2012
SNA,4/20/2012
SNA,7/20/2012
SNA,10/19/2012
SNA,2/08/2013
SNA,4/19/2013
SNA,7/19/2013
